A.J. Brown\BrowAJ00,0.73,7.45,10.25,0.18,18.18,12.36,162.64,13.15,0.82,0.00
Aaron Jones\JoneAa00,24.82,102.27,4.12,0.73,6.27,5.00,42.64,8.53,0.00,0.09
Adam Humphries\HumpAd00,0.73,7.45,10.25,0.18,18.18,12.36,162.64,13.15,0.82,0.00
Adam Thielen\ThieAd00,0.55,4.64,8.50,0.00,23.00,13.82,172.09,12.45,0.64,0.18
Adrian Peterson\PeteAd01,21.64,107.00,4.95,1.45,5.55,4.09,27.00,6.60,0.27,0.09
Albert Wilson\WilsAl02,0.73,6.91,9.50,0.18,19.55,11.55,166.00,14.38,1.27,0.00
Alex Erickson\EricAl01,0.64,3.00,4.71,0.00,21.55,13.27,167.18,12.60,1.36,0.18
Allen Hurns\HurnAl01,0.73,6.91,9.50,0.18,19.55,11.55,166.00,14.38,1.27,0.00
Allen Lazard\LazaAl00,0.27,1.55,5.67,0.00,19.55,13.45,196.64,14.61,1.36,0.18
Allen Robinson\RobiAl02,0.33,1.92,5.75,0.00,23.50,13.75,185.92,13.52,1.00,0.33
Alvin Kamara\KamaAl00,22.67,90.33,3.99,0.58,6.83,5.08,36.92,7.26,0.25,0.08
Amari Cooper\CoopAm00,0.50,3.92,7.83,0.08,21.42,12.83,144.92,11.29,0.42,0.42
Andre Patton\PattAn00,0.55,6.91,12.67,0.00,16.64,10.27,129.36,12.59,0.73,0.00
Andy Isabella\IsabAn00,0.27,-0.36,-1.33,0.00,20.91,13.45,162.45,12.07,1.00,0.36
Anthony Miller\MillAn02,0.33,1.92,5.75,0.00,23.50,13.75,185.92,13.52,1.00,0.33
Antonio Callaway\CallAn00,0.36,3.18,8.75,0.00,19.00,11.36,156.36,13.76,1.09,0.27
Antony Auclair\AuclAn00,0.09,0.36,4.00,0.00,5.09,3.45,40.00,11.58,0.45,0.00
Auden Tate\TateAu00,0.64,3.00,4.71,0.00,21.55,13.27,167.18,12.60,1.36,0.18
Austin Carr\CarrAu00,0.42,1.08,2.60,0.00,18.33,13.08,181.67,13.89,1.17,0.08
Austin Ekeler\EkelAu00,24.55,94.64,3.86,0.64,6.82,5.45,36.73,6.73,0.09,0.18
Ben Braunecker\BrauBe00,0.08,2.25,27.00,0.00,5.67,4.00,50.92,12.73,0.42,0.00
Ben Koyack\KoyaBe00,0.00,0.00,0.00,0.00,8.27,5.73,71.73,12.52,0.64,0.00
Ben Watson\WatsBe00,0.00,0.00,0.00,0.00,7.36,4.82,49.91,10.36,0.27,0.00
Bennie Fowler\FowlBe00,0.45,1.73,3.80,0.00,16.36,9.73,163.64,16.82,0.64,0.09
Benny Snell\SnelBe00,20.55,95.36,4.64,0.45,6.36,5.00,42.00,8.40,0.27,0.27
Blake Bell\BellBl00,0.09,-0.45,-5.00,0.00,7.45,4.64,53.09,11.45,0.73,0.00
Blake Jarwin\JarwBl00,0.00,0.00,0.00,0.00,4.92,3.42,31.58,9.24,0.17,0.00
Bo Scarbrough\ScarBo01,23.33,84.92,3.64,0.83,7.92,6.17,42.33,6.86,0.08,0.08
Bobo Wilson\WilsJe00,0.91,6.55,7.20,0.00,19.55,12.00,162.82,13.57,0.73,0.09
Boston Scott\ScotBo02,27.73,129.82,4.68,0.73,5.45,4.55,41.64,9.16,0.36,0.09
Brandin Cooks\CookBr00,0.27,0.64,2.33,0.00,20.36,14.00,178.36,12.74,1.09,0.00
Brandon Bolden\BoldBr00,19.64,87.55,4.46,0.36,8.27,7.36,61.18,8.31,0.36,0.00
Breshad Perriman\PerrBr02,0.91,6.55,7.20,0.00,19.55,12.00,162.82,13.57,0.73,0.09
Brian Hill\HillBr02,17.75,62.33,3.51,0.33,7.75,6.33,35.25,5.57,0.25,0.25
C.J. Uzomah\UzomC.00,0.00,0.00,0.00,0.00,5.73,3.82,41.09,10.76,0.18,0.00
Calvin Ridley\RidlCa00,1.25,10.50,8.40,0.00,21.67,12.58,173.00,13.75,1.08,0.08
Cameron Brate\BratCa00,0.09,0.36,4.00,0.00,5.09,3.45,40.00,11.58,0.45,0.00
Carlos Hyde\HydeCa00,18.18,78.27,4.30,0.09,6.09,4.18,30.45,7.28,0.00,0.36
Charles Clay\ClayCh00,0.18,0.82,4.50,0.00,6.64,4.27,50.09,11.72,0.27,0.00
Chase Edmonds\EdmoCh00,25.00,94.00,3.76,0.64,6.64,4.64,35.00,7.55,0.36,0.00
Chester Rogers\RogeCh02,0.82,3.64,4.44,0.00,20.64,13.18,172.09,13.06,0.82,0.09
Chris Carson\CarsCh00,20.27,83.64,4.13,0.27,5.45,3.82,31.18,8.17,0.27,0.09
Chris Conley\ConlCh00,0.82,5.91,7.22,0.09,25.64,15.55,206.09,13.26,1.64,0.18
Chris Godwin\GodwCh00,0.91,6.55,7.20,0.00,19.55,12.00,162.82,13.57,0.73,0.09
Chris Moore\MoorCh00,1.18,8.45,7.15,0.09,18.73,10.55,119.36,11.32,0.82,0.36
Christian Blake\BlakCh00,1.25,10.50,8.40,0.00,21.67,12.58,173.00,13.75,1.08,0.08
Christian Kirk\KirkCh01,0.27,-0.36,-1.33,0.00,20.91,13.45,162.45,12.07,1.00,0.36
Christian McCaffrey\McCaCh01,27.45,113.55,4.14,0.64,7.09,5.55,45.64,8.23,0.18,0.27
Clive Walford\WalfCl00,0.00,0.00,0.00,0.00,5.64,3.91,40.09,10.26,0.27,0.09
Cody Latimer\LatiCo00,0.45,1.73,3.80,0.00,16.36,9.73,163.64,16.82,0.64,0.09
Cole Beasley\BeasCo00,0.67,4.08,6.12,0.00,17.67,10.75,136.92,12.74,0.67,0.00
Cooper Kupp\KuppCo00,0.27,0.64,2.33,0.00,20.36,14.00,178.36,12.74,1.09,0.00
Cordarrelle Patterson\PattCo00,0.33,1.92,5.75,0.00,23.50,13.75,185.92,13.52,1.00,0.33
Corey Davis\DaviCo03,0.73,7.45,10.25,0.18,18.18,12.36,162.64,13.15,0.82,0.00
Courtland Sutton\SuttCo00,0.45,1.55,3.40,0.00,15.64,10.91,127.36,11.68,0.64,0.00
Curtis Samuel\SamuCu00,0.82,5.18,6.33,0.09,16.45,11.82,145.55,12.32,1.18,0.18
D.J. Moore\MoorD.00,0.82,5.18,6.33,0.09,16.45,11.82,145.55,12.32,1.18,0.18
D.K. Metcalf\MetcDK00,0.82,2.73,3.33,0.00,21.00,14.36,176.64,12.30,1.36,0.18
DaeSean Hamilton\HamiDa01,0.45,1.55,3.40,0.00,15.64,10.91,127.36,11.68,0.64,0.00
Dallas Goedert\GoedDa00,0.00,0.00,0.00,0.00,6.82,4.73,56.27,11.90,0.27,0.00
Dalvin Cook\CookDa01,18.45,75.18,4.07,0.82,6.55,5.27,43.00,8.16,0.09,0.27
Damien Williams\WillDa05,21.27,87.09,4.09,0.45,7.36,5.64,51.18,9.08,0.45,0.00
Damiere Byrd\ByrdDa00,0.27,-0.36,-1.33,0.00,20.91,13.45,162.45,12.07,1.00,0.36
Damion Ratley\RatlDa00,0.36,3.18,8.75,0.00,19.00,11.36,156.36,13.76,1.09,0.27
Damion Willis\WillDa11,0.64,3.00,4.71,0.00,21.55,13.27,167.18,12.60,1.36,0.18
Daniel Brown\BrowDa04,0.18,0.64,3.50,0.00,5.64,4.18,54.18,12.96,0.36,0.09
Danny Amendola\AmenDa00,0.25,1.42,5.67,0.00,18.67,11.50,140.42,12.21,0.58,0.17
Darius Slayton\SlayDa01,0.45,1.73,3.80,0.00,16.36,9.73,163.64,16.82,0.64,0.09
Darren Fells\FellDa01,0.00,0.00,0.00,0.00,5.64,3.82,40.00,10.48,0.27,0.00
Darren Waller\WallDa01,0.00,0.00,0.00,0.00,9.73,6.55,60.55,9.25,0.27,0.00
Davante Adams\AdamDa01,0.27,1.55,5.67,0.00,19.55,13.45,196.64,14.61,1.36,0.18
David Montgomery\MontDa01,23.08,98.08,4.25,0.83,7.08,5.25,56.33,10.73,0.67,0.42
David Moore\MoorDa03,0.82,2.73,3.33,0.00,21.00,14.36,176.64,12.30,1.36,0.18
Dawson Knox\KnoxDa00,0.08,0.17,2.00,0.00,7.42,5.25,49.92,9.51,0.42,0.08
DeAndre Carter\CartDe02,0.18,5.55,30.50,0.09,20.91,10.09,110.64,10.96,0.09,0.18
DeAndre Hopkins\HopkDe00,0.18,5.55,30.50,0.09,20.91,10.09,110.64,10.96,0.09,0.18
Dede Westbrook\WestDe00,0.82,5.91,7.22,0.09,25.64,15.55,206.09,13.26,1.64,0.18
