Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
Dan Arnold,ARI,24,TE,3,0,5,3,31,10.3,1,2,19,1,10.3,0.6,6.2,0,0,0,0,0,0,0,0,3,10.3,31,1,0
Deon Cain,PIT,23,WR,11,6,18,7,114,16.3,0,6,35,0.6,10.4,0.39,6.3,0,0,0,0,0,0,0,0,7,16.3,114,0,0
Dontrelle Inman,IND,30,WR,5,1,16,10,157,15.7,0,8,28,2,31.4,0.63,9.8,0,0,0,0,0,0,0,0,10,15.7,157,0,0
Emmanuel Sanders,SFO,32,WR,15,14,87,60,783,13.1,5,37,75,4,52.2,0.69,9,0,0,0,0,0,0,0,0,60,13.1,783,5,0
J.P. Holtz,CHI,26,TE,13,5,7,6,78,13,0,3,30,0.5,6,0.86,11.1,0,0,0,0,0,0,0,0,6,13,78,0,0
Jordan Matthews,PHI,27,WR,3,1,12,4,33,8.3,0,1,10,1.3,11,0.33,2.8,0,0,0,0,0,0,0,0,4,8.3,33,0,0
Kenyan Drake,ARI,25,RB,12,8,60,44,304,6.9,0,14,26,3.7,25.3,0.73,5.1,134,591,5,37,36,4.4,49.3,11.2,178,5,895,5,2
Mack Hollins,MIA,26,WR,14,3,23,10,125,12.5,0,7,20,0.7,8.9,0.44,5.4,0,0,0,0,0,0,0,0,10,12.5,125,0,0
Mike Davis,CAR,26,RB,10,1,8,7,22,3.1,0,1,7,0.7,2.2,0.88,2.8,11,25,0,0,8,2.3,2.5,1.1,18,2.6,47,0,0
Mohamed Sanu,NWE,30,WR,13,10,79,53,461,8.7,2,27,28,4.1,35.5,0.67,5.8,3,11,0,1,8,3.7,0.8,0.2,56,8.4,472,2,0
Nick Vannett,PIT,26,TE,14,7,21,16,148,9.3,0,4,17,1.1,10.6,0.76,7,0,0,0,0,0,0,0,0,16,9.3,148,0,0
Pharoh Cooper,ARI,24,WR,11,1,29,22,205,9.3,1,8,28,2,18.6,0.76,7.1,1,2,0,0,2,2,0.2,0.1,23,9,207,1,0
Robert Davis,PHI,24,WR,4,2,2,1,11,11,0,1,11,0.3,2.8,0.5,5.5,0,0,0,0,0,0,0,0,1,11,11,0,0
Zay Jones,OAK,24,WR,13,7,40,22,181,8.2,0,9,23,1.7,13.9,0.55,4.5,1,3,0,0,3,3,0.2,0.1,23,8,184,0,0
Eric Tomlinson,OAK,27,TE,6,3,1,1,1,1,0,0,1,0.2,0.2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
Trevor Davis,MIA,26,WR,12,4,11,8,111,13.9,0,4,28,0.7,9.3,0.73,10.1,4,73,1,2,60,18.3,6.1,0.3,12,15.3,184,1,2
Alfred Morris,ARI,31,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,4,4,1,1,4,4,0,0
Andy Isabella,ARI,23,wr,13,1,13,9,189,21,1,4,88,0.7,14.5,0.69,14.5,4,15,0,0,6,3.8,1.2,0.3,13,15.7,204,1,0
Charles Clay,ARI,30,TE,14,9,23,17,221,13,1,11,47,1.2,15.8,0.74,9.6,0,0,0,0,0,0,0,0,17,13,221,1,0
Chase Edmonds,ARI,23,rb,11,2,21,12,105,8.8,1,5,31,1.1,9.5,0.57,5,59,304,4,12,37,5.2,27.6,5.4,71,5.8,409,5,0
Christian Kirk,ARI,23,WR,11,11,93,61,649,10.6,3,29,69,5.5,59,0.66,7,7,78,0,3,28,11.1,7.1,0.6,68,10.7,727,3,0
Damiere Byrd,ARI,26,wr,9,3,37,24,274,11.4,0,11,58,2.7,30.4,0.65,7.4,0,0,0,0,0,0,0,0,24,11.4,274,0,0
Darrell Daniels,ARI,25,TE,10,0,2,1,4,4,0,1,4,0.1,0.4,0.5,2,0,0,0,0,0,0,0,0,1,4,4,0,0
David Johnson,ARI,28,RB,12,8,46,35,366,10.5,4,17,31,2.9,30.5,0.76,8,92,342,2,20,18,3.7,28.5,7.7,127,5.6,708,6,1
KeeSean Johnson,ARI,23,wr,10,4,42,21,187,8.9,1,10,31,2.1,18.7,0.5,4.5,1,3,0,0,3,3,0.3,0.1,22,8.6,190,1,1
Larry Fitzgerald,ARI,36,WR,14,14,95,67,711,10.6,3,36,54,4.8,50.8,0.71,7.5,0,0,0,0,0,0,0,0,67,10.6,711,3,1
Maxx Williams,ARI,25,TE,14,9,15,12,143,11.9,1,9,21,0.9,10.2,0.8,9.5,0,0,0,0,0,0,0,0,12,11.9,143,1,0
Michael Crabtree,ARI,32,wr,2,1,5,4,22,5.5,0,0,9,2,11,0.8,4.4,0,0,0,0,0,0,0,0,4,5.5,22,0,0
Trent Sherfield,ARI,23,wr,14,1,13,4,80,20,0,4,38,0.3,5.7,0.31,6.2,0,0,0,0,0,0,0,0,4,20,80,0,0
Austin Hooper,ATL,25,TE,11,8,79,61,660,10.8,6,35,35,5.5,60,0.77,8.4,0,0,0,0,0,0,0,0,61,10.8,660,6,0
Brian Hill,ATL,24,rb,10,2,14,10,69,6.9,1,4,12,1,6.9,0.71,4.9,66,236,2,14,27,3.6,23.6,6.6,76,4,305,3,0
Calvin Ridley,ATL,25,WR,13,10,93,63,866,13.7,7,47,36,4.8,66.6,0.68,9.3,2,34,0,2,19,17,2.6,0.2,65,13.8,900,7,0
Christian Blake,ATL,23,wr,7,2,22,11,91,8.3,0,5,13,1.6,13,0.5,4.1,0,0,0,0,0,0,0,0,11,8.3,91,0,0
Devonta Freeman,ATL,27,RB,12,12,56,48,321,6.7,3,11,28,4,26.8,0.86,5.7,153,545,1,25,28,3.6,45.4,12.8,201,4.3,866,4,3
