"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Christian McCaffrey","CAR","RB1","vs. SEA","1","1","1.0","0.0","25.2"
"2","undefined","","Michael Thomas","NO","WR1","vs. IND","2","6","2.0","0.0","25.0"
"3","undefined","","Derrick Henry","TEN","RB2","vs. HOU","4","5","4.0","0.0","21.7"
"4","undefined","","Dalvin Cook","MIN","RB3","at LAC","3","6","4.3","1.2","22.9"
"5","undefined","","Chris Carson","SEA","RB4","at CAR","3","41","4.4","1.4","20.3"
"6","undefined","","DeAndre Hopkins","HOU","WR2","at TEN","2","11","6.4","1.2","20.3"
"7","undefined","","Ezekiel Elliott","DAL","RB5","vs. LAR","5","10","6.7","0.5","19.4"
"8","undefined","","Chris Godwin","TB","WR3","at DET","8","9","8.3","0.5","19.1"
"9","undefined","","Leonard Fournette","JAC","RB6","at OAK","3","17","9.4","1.0","18.7"
"10","undefined","","Davante Adams","GB","WR4","vs. CHI","8","13","9.9","1.1","18.9"
"11","undefined","","Saquon Barkley","NYG","RB7","vs. MIA","4","12","10.7","0.5","18.0"
"12","undefined","","D.J. Moore","CAR","WR5","vs. SEA","11","15","12.1","0.3","17.6"
"13","undefined","","Tyreek Hill","KC","WR6","vs. DEN","8","15","13.0","0.0","17.4"
"14","undefined","","Julian Edelman","NE","WR7","at CIN","14","22","14.3","0.5","16.8"
"15","undefined","","Julio Jones","ATL","WR8","at SF","11","21","15.3","0.5","16.8"
"16","undefined","","George Kittle","SF","TE1","vs. ATL","14","27","16.9","1.0","16.7"
"17","undefined","","Allen Robinson","CHI","WR9","at GB","17","20","18.6","0.7","16.4"
"18","undefined","","Nick Chubb","CLE","RB8","at ARI","7","26","19.3","3.1","16.5"
"19","undefined","","Aaron Jones","GB","RB9","vs. CHI","8","26","20.1","1.5","16.3"
"20","undefined","","Travis Kelce","KC","TE2","vs. DEN","16","60","20.1","3.7","16.4"
"21","undefined","","Cooper Kupp","LAR","WR10","at DAL","19","41","21.0","1.9","16.3"
"22","undefined","","Keenan Allen","LAC","WR11","vs. MIN","18","34","23.4","3.5","0"
"23","undefined","","Melvin Gordon","LAC","RB10","vs. MIN","12","27","24.0","4.2","15.5"
"24","undefined","","Jarvis Landry","CLE","WR12","at ARI","19","27","24.4","1.2","0"
"25","undefined","","Stefon Diggs","MIN","WR13","at LAC","23","28","25.1","1.0","15.5"
"26","undefined","","Todd Gurley","LAR","RB11","at DAL","14","34","26.0","3.7","15.4"
"27","undefined","","Alvin Kamara","NO","RB12","vs. IND","16","31","27.4","3.3","15.4"
"28","undefined","","Kenny Golladay","DET","WR14","vs. TB","23","32","27.9","3.2","15.4"
"29","undefined","","Amari Cooper","DAL","WR15","vs. LAR","22","34","28.6","2.1","15.3"
"30","undefined","","Zach Ertz","PHI","TE3","at WAS","23","60","31.3","9.6","15.5"
"31","undefined","","Austin Ekeler","LAC","RB13","vs. MIN","25","44","31.7","1.5","15.3"
"32","undefined","","Robert Woods","LAR","WR16","at DAL","28","38","32.6","2.4","15.2"
"33","undefined","","Phillip Lindsay","DEN","RB14","at KC","17","45","33.3","2.2","15.0"
"34","undefined","","A.J. Brown","TEN","WR17","vs. HOU","28","38","34.1","1.0","15.0"
"35","undefined","","Mark Ingram","BAL","RB15","vs. NYJ","30","40","36.3","2.8","15.0"
"36","undefined","","Courtland Sutton","DEN","WR18","at KC","30","40","37.6","1.8","0"
"37","undefined","","Emmanuel Sanders","SF","WR19","vs. ATL","35","46","39.1","2.5","0"
"38","undefined","","Odell Beckham Jr.","CLE","WR20","at ARI","35","43","39.4","1.8","14.7"
"39","undefined","","James White","NE","RB16","at CIN","36","50","41.4","3.8","14.9"
"40","undefined","","Miles Sanders","PHI","RB17","at WAS","29","97","41.6","11.4","14.6"
"41","undefined","","Michael Gallup","DAL","WR21","vs. LAR","36","53","41.9","1.2","0"
"42","undefined","","Marvin Jones","DET","WR22","vs. TB","35","60","44.3","2.7","0"
"43","undefined","","Deebo Samuel","SF","WR23","vs. ATL","43","50","44.3","2.0","0"
"44","undefined","","David Montgomery","CHI","RB18","at GB","40","54","44.4","3.8","13.9"
"45","undefined","","Joe Mixon","CIN","RB19","vs. NE","31","52","45.4","3.2","14.5"
"46","undefined","","Darren Waller","OAK","TE4","vs. JAC","23","61","46.1","13.1","13.3"
"47","undefined","","Christian Kirk","ARI","WR24","vs. CLE","39","52","46.1","2.5","14.0"
"48","undefined","","Terry McLaurin","WAS","WR25","vs. PHI","45","60","48.4","1.8","13.4"
"49","undefined","","Sterling Shepard","NYG","WR26","vs. MIA","45","71","49.3","2.9","0"
"50","undefined","","Raheem Mostert","SF","RB20","vs. ATL","38","69","50.0","4.0","13.2"
"51","undefined","","John Brown","BUF","WR27","at PIT","44","57","51.7","1.6","0"
"52","undefined","","Devin Singletary","BUF","RB21","at PIT","42","64","52.7","4.1","13.0"
"53","undefined","","Tyler Lockett","SEA","WR28","at CAR","47","62","54.3","2.2","0"
"54","undefined","","DeAndre Washington","OAK","RB22","vs. JAC","41","91","56.4","11.4","12.8"
"55","undefined","","D.K. Metcalf","SEA","WR29","at CAR","50","66","56.9","2.6","0"
"56","undefined","","Tyler Boyd","CIN","WR30","vs. NE","51","72","57.4","3.5","0"
"57","undefined","","Dede Westbrook","JAC","WR31","at OAK","42","67","57.6","2.0","0"
"58","undefined","","Hunter Henry","LAC","TE5","vs. MIN","50","81","59.6","2.1","12.4"
"59","undefined","","Jack Doyle","IND","TE6","at NO","43","78","60.4","11.7","12.3"
"60","undefined","","Kenyan Drake","ARI","RB23","vs. CLE","55","74","60.4","5.9","12.7"
"61","undefined","","Zach Pascal","IND","WR32","at NO","55","66","60.4","2.8","0"
"62","undefined","","Kareem Hunt","CLE","RB24","at ARI","51","69","63.3","2.2","12.3"
"63","undefined","","Le'Veon Bell","NYJ","RB25","at BAL","31","94","64.9","8.4","12.0"
"64","undefined","","Robby Anderson","NYJ","WR33","at BAL","63","71","65.4","2.0","0"
"65","undefined","","Marlon Mack","IND","RB26","at NO","54","84","65.9","3.1","11.7"
"66","undefined","","Golden Tate","NYG","WR34","vs. MIA","62","80","66.1","2.8","0"
"67","undefined","","Devante Parker","MIA","WR35","at NYG","28","134","67.6","29.2","0"
"68","undefined","","Jamison Crowder","NYJ","WR36","at BAL","65","75","67.7","2.6","11.9"
"69","undefined","","Marquise Brown","BAL","WR37","vs. NYJ","57","86","68.3","2.9","0"
"70","undefined","","Mike Williams","LAC","WR38","vs. MIN","55","75","68.4","4.8","0"
"71","undefined","","Curtis Samuel","CAR","WR39","vs. SEA","67","89","71.6","1.0","11.4"
"72","undefined","","Darius Slayton","NYG","WR40","vs. MIA","63","87","72.7","2.4","0"
"73","undefined","","Tyrell Williams","OAK","WR41","vs. JAC","61","78","73.9","2.4","0"
"74","undefined","","James Washington","PIT","WR42","vs. BUF","67","82","74.6","3.1","0"
"75","undefined","","Cole Beasley","BUF","WR43","at PIT","64","108","75.9","1.4","0"
"76","undefined","","Benny Snell Jr.","PIT","RB27","vs. BUF","57","175","78.7","4.4","10.7"
"77","undefined","","Tyler Higbee","LAR","TE7","at DAL","58","100","78.9","11.1","10.9"
"78","undefined","","Devonta Freeman","ATL","RB28","at SF","62","82","79.0","1.3","10.9"
"79","undefined","","Diontae Johnson","PIT","WR44","vs. BUF","76","102","79.9","3.9","0"
"80","undefined","","Anthony Miller","CHI","WR45","at GB","76","98","79.9","4.3","0"
"81","undefined","","Chris Conley","JAC","WR46","at OAK","63","100","82.4","3.0","10.6"
"82","undefined","","LeSean McCoy","KC","RB29","vs. DEN","69","91","82.4","4.1","10.6"
"83","undefined","","Adrian Peterson","WAS","RB30","vs. PHI","54","91","85.3","2.0","10.3"
