A.J. Brown,15.3,22,15,10,76,48,927,19.3,7,36,91,3.2,61.8,63.20%,12.2,3,60,1,2,49,20,4,0.2,51,19.4,987,1.27,13.80,10.89,0.07,21.20,12.67,175.80,13.88,1.20,0.13
Aaron Jones,28,25,15,15,62,47,431,9.2,3,16,67,3.1,28.7,75.80%,7,211,984,16,50,56,4.7,65.6,14.1,258,5.5,1415,22.13,96.27,4.35,0.47,6.53,4.67,36.13,7.74,0.27,0.27
Adam Thielen,0.2,29,10,10,48,30,418,13.9,6,18,44,3,41.8,62.50%,8.7,4,6,1,1,3,1.5,0.6,0.4,34,12.5,424,0.47,1.40,3.00,0.00,17.67,10.00,159.13,15.91,0.73,0.07
Adrian Peterson,13.5,34,14,14,19,16,142,8.9,0,7,22,1.1,10.1,84.20%,7.5,198,820,5,38,29,4.1,58.6,14.1,214,4.5,962,24.33,96.80,3.98,0.67,7.07,5.53,45.00,8.13,0.00,0.07
Albert Wilson,15.8,27,12,3,54,38,292,7.7,1,18,35,3.2,24.3,70.40%,5.4,5,45,0,1,28,9,3.8,0.4,43,7.8,337,1.33,7.00,5.25,0.00,17.33,10.47,158.67,15.16,0.73,0.07
Alec Ingold,0,23,15,4,6,6,44,7.3,1,4,14,0.4,2.9,100.00%,7.3,9,17,0,7,4,1.9,1.1,0.6,15,4.1,61,23.07,94.20,4.08,0.80,7.07,5.60,40.07,7.15,0.27,0.00
Alex Armah,0,25,15,1,2,2,6,3,0,0,4,0.1,0.4,100.00%,3,6,11,1,1,4,1.8,0.7,0.4,8,2.1,17,20.13,83.87,4.17,0.27,7.80,6.73,45.33,6.73,0.13,0.27
Alex Erickson,11.5,27,15,5,74,42,513,12.2,0,25,52,2.8,34.2,56.80%,6.9,4,28,0,2,17,7,1.9,0.3,46,11.8,541,0.53,1.80,3.38,0.00,20.80,12.33,179.00,14.51,1.80,0.00
Alfred Morris,0,31,1,0,0,0,0,,0,0,0,0,0,0.00%,,1,4,0,1,4,4,4,1,1,4,4,19.27,82.27,4.27,1.07,6.80,5.53,49.67,8.98,0.07,0.33
Allen Hurns,6.1,28,14,7,47,32,416,13,2,18,27,2.3,29.7,68.10%,8.9,,,,0,,,,,32,13,416,1.33,7.00,5.25,0.00,17.33,10.47,158.67,15.16,0.73,0.07
Allen Lazard,9.5,24,15,2,44,31,408,13.2,2,20,43,2.1,27.2,70.50%,9.3,1,21,0,1,21,21,1.4,0.1,32,13.4,429,0.60,2.00,3.33,0.00,21.27,14.33,171.60,11.97,1.20,0.27
Allen Robinson,11.3,26,15,14,142,89,1076,12.1,7,57,49,5.9,71.7,62.70%,7.6,,,,0,,,,,89,12.1,1076,0.40,3.33,8.33,0.00,17.20,9.53,122.40,12.84,0.67,0.07
Alvin Kamara,29,24,13,9,94,79,515,6.5,1,27,41,6.1,39.6,84.00%,5.5,163,758,3,29,40,4.7,58.3,12.5,242,5.3,1273,21.60,87.07,4.03,0.80,8.20,6.33,46.87,7.40,0.20,0.13
Amari Cooper,6.4,25,15,15,114,75,1097,14.6,8,51,53,5,73.1,65.80%,9.6,,,,0,,,,,75,14.6,1097,0.73,7.67,10.45,0.13,20.40,11.93,176.00,14.75,1.33,0.00
Ameer Abdullah,11.8,26,15,0,17,12,74,6.2,1,5,16,0.8,4.9,70.60%,4.4,17,93,0,3,15,5.5,6.2,1.1,29,5.8,167,22.47,105.87,4.71,0.93,8.07,5.93,42.87,7.22,0.07,0.07
Andre Patton,3.8,25,12,4,14,6,56,9.3,0,4,15,0.5,4.7,42.90%,4,,,,0,,,,,6,9.3,56,0.67,4.07,6.10,0.07,17.67,10.93,170.00,15.55,1.13,0.07
Andre Roberts,0,31,13,0,7,3,20,6.7,0,1,7,0.2,1.5,42.90%,2.9,1,7,0,0,7,7,0.5,0.1,4,6.8,27,0.33,4.80,14.40,0.07,19.87,9.93,117.60,11.84,0.27,0.20
