Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Christian McCaffrey,312.0,67.875,0.4375,0.125,5.0,7.0625,7.3125,21.0,27.1875,40.6875,8.1,0.3125,2.3125,70.8,0.125,1.375,40.0,37.0,3.7,12.3125,5.5,67.875,0.4375,0.125,5.0,7.0625,7.3125,21,27.1875,40.6875,8.1,0.3125,2.3125,70.8,0.125,1.375,40.0,37.0,3.7,12.3125,5.5
Ezekiel Elliott,303.1,129.84,1.0,0.24,2.32,3.08,22.56,21.5,104.56,25.28,10.8,0.12,0.68,75.25,0.88,6.08,45.0,77.5,4.6,24.88,5.15,125.2,0.9,0.1,2.6,3.8,24.2,22,98.3,26.9,10.3,0.2,0.6,68.4,0.7,5.7,30.0,72.0,4.1,26.8,4.7
Ezekiel Elliott,241.7,132.93333333333334,1.0666666666666667,0.3333333333333333,2.1333333333333333,2.6,21.466666666666665,21.0,108.73333333333333,24.2,11.3,0.06666666666666667,0.7333333333333333,82.1,1.0,6.333333333333333,60.0,83.0,5.1,23.6,5.6,132.93333333333334,1.0666666666666667,0.3333333333333333,2.1333333333333333,2.6,21.466666666666665,21,108.73333333333333,24.2,11.3,0.06666666666666667,0.7333333333333333,82.1,1.0,6.333333333333333,60.0,83.0,5.1,23.6,5.6
Derrick Henry,221.8,48.61290322580645,0.3548387096774194,0.03225806451612903,0.7741935483870968,1.032258064516129,9.225806451612904,22.5,39.806451612903224,8.806451612903226,11.45,0.03225806451612903,0.2903225806451613,75.7,0.3225806451612903,2.225806451612903,48.5,47.5,4.35,10.0,4.9,55.0,0.375,0.0625,0.6875,1.0625,11.0,23,46.5,8.5,12.4,0.0625,0.25,64.7,0.3125,2.5,75.0,66.0,4.2,11.6875,4.7
Derrick Henry,175.0,41.8,0.3333333333333333,0.0,0.8666666666666667,1.0,7.333333333333333,22.0,32.666666666666664,9.133333333333333,10.5,0.0,0.3333333333333333,86.7,0.3333333333333333,1.9333333333333333,22.0,29.0,4.5,8.2,5.1,41.8,0.3333333333333333,0.0,0.8666666666666667,1.0,7.333333333333333,22,32.666666666666664,9.133333333333333,10.5,0.0,0.3333333333333333,86.7,0.3333333333333333,1.9333333333333333,22.0,29.0,4.5,8.2,5.1
Michael Thomas,231.5,76.83870967741936,0.45161290322580644,0.06451612903225806,6.32258064516129,8.709677419354838,0.0,23.5,0.0,76.83870967741936,12.2,0.45161290322580644,4.290322580645161,72.9,0.0,0.0,0.0,44.5,0.0,6.32258064516129,12.2,77.8125,0.3125,0.0,6.5,9.3125,0.0,24,0.0,77.8125,12.0,0.3125,4.4375,69.8,0.0,0.0,0,43.0,0,6.5,12.0
Michael Thomas,190.0,75.8,0.6,0.13333333333333333,6.133333333333334,8.066666666666666,0.0,23.0,0.0,75.8,12.4,0.6,4.133333333333334,76.0,0.0,0.0,0.0,46.0,0.0,6.133333333333334,12.4,75.8,0.6,0.13333333333333333,6.133333333333334,8.066666666666666,0.0,23,0.0,75.8,12.4,0.6,4.133333333333334,76.0,0.0,0.0,0,46.0,0,6.133333333333334,12.4
Leonard Fournette,125.4,103.23076923076923,0.7692307692307693,0.15384615384615385,2.769230769230769,3.6923076923076925,20.615384615384617,22.0,80.0,23.23076923076923,8.4,0.07692307692307693,1.3846153846153846,75.0,0.6923076923076923,3.923076923076923,90.0,28.0,3.9,23.384615384615383,4.4,103.23076923076923,0.7692307692307693,0.15384615384615385,2.769230769230769,3.6923076923076925,20.615384615384617,22,80.0,23.23076923076923,8.4,0.07692307692307693,1.3846153846153846,75.0,0.6923076923076923,3.923076923076923,90.0,28.0,3.9,23.384615384615383,4.4
Dalvin Cook,136.5,111.0,0.5,0.25,2.75,4.0,18.5,22.0,88.5,22.5,8.2,0.0,0.75,68.8,0.5,4.0,33.0,36.0,4.8,21.25,5.2,111.0,0.5,0.25,2.75,4.0,18.5,22,88.5,22.5,8.2,0.0,0.75,68.8,0.5,4.0,33.0,36.0,4.8,21.25,5.2
Aaron Jones,177.9,39.166666666666664,0.3333333333333333,0.0,0.75,1.5,6.75,23.0,37.333333333333336,1.8333333333333333,2.4,0.0,0.16666666666666666,50.0,0.3333333333333333,1.9166666666666667,46.0,9.0,5.5,7.5,5.2,39.166666666666664,0.3333333333333333,0.0,0.75,1.5,6.75,23,37.333333333333336,1.8333333333333333,2.4,0.0,0.16666666666666666,50.0,0.3333333333333333,1.9166666666666667,46.0,9.0,5.5,7.5,5.2
