Emmanuel Sanders,34.1,32,14,13,83,58,774,13.3,5,75,4.1,55.3,69.90%,9.3,0,0,0,0,0,0,0,58,13.3,774,5,0,1.38,12.15,8.78,0.00,21.62,12.77,179.00,14.02,1.23,0.08
Kenyan Drake,9.7,25,11,7,59,43,295,6.9,0,26,3.9,26.8,72.90%,5,112,454,1,36,4.1,41.3,10.2,155,4.8,749,1,2,22.46,87.15,3.88,0.31,7.23,5.00,40.08,8.02,0.15,0.23
Mohamed Sanu,2.3,30,12,9,71,51,448,8.8,2,28,4.3,37.3,71.80%,6.3,3,11,0,8,3.7,0.9,0.3,54,8.5,459,2,0,0.38,2.62,6.80,0.00,16.00,9.46,125.54,13.27,0.77,0.08
Josh Gordon,5.4,28,10,6,46,26,368,14.2,1,44,2.6,36.8,56.50%,8,1,1,0,1,1,0.1,0.1,27,13.7,369,1,0,0.23,-0.31,-1.33,0.00,21.23,13.46,159.38,11.84,0.85,0.31
Pharoh Cooper,1.5,24,10,1,28,21,188,9,1,28,2.1,18.8,75.00%,6.7,1,2,0,2,2,0.2,0.1,22,8.6,190,1,0,0.38,3.00,7.80,0.00,19.08,11.38,150.00,13.18,0.92,0.23
Zay Jones,1.5,24,12,6,38,21,176,8.4,0,23,1.8,14.7,55.30%,4.6,1,3,0,3,3,0.3,0.1,22,8.1,179,0,0,0.69,3.08,4.44,0.00,19.54,12.62,164.31,13.02,0.69,0.08
Mack Hollins,0,26,13,3,23,10,125,12.5,0,20,0.8,9.6,43.50%,5.4,0,0,0,0,0,0,0,10,12.5,125,0,0,0.54,2.54,4.71,0.00,21.62,13.15,167.54,12.74,1.23,0.15
Deon Cain,3.2,23,10,5,17,7,114,16.3,0,35,0.7,11.4,41.20%,6.7,0,0,0,0,0,0,0,7,16.3,114,0,0,0.31,1.77,5.75,0.00,20.54,14.62,182.85,12.51,1.08,0.00
Nick Vannett,0,26,13,6,15,11,108,9.8,0,17,0.8,8.3,73.30%,7.2,0,0,0,0,0,0,0,11,9.8,108,0,0,0.00,0.00,0.00,0.00,8.08,6.15,75.46,12.26,1.00,0.00
J.P. Holtz,8.6,26,12,4,6,5,79,15.8,0,30,0.4,6.6,83.30%,13.2,0,0,0,0,0,0,0,5,15.8,79,0,0,0.08,0.15,2.00,0.00,7.38,5.38,53.15,9.87,0.38,0.08
David Johnson,13.3,28,11,8,46,35,366,10.5,4,31,3.2,33.3,76.10%,8,89,336,2,18,3.8,30.5,8.1,124,5.7,702,6,1,22.46,87.15,3.88,0.31,7.23,5.00,40.08,8.02,0.15,0.23
Chase Edmonds,0.9,23,10,2,21,12,105,8.8,1,31,1.2,10.5,57.10%,5,59,304,4,37,5.2,30.4,5.9,71,5.8,409,5,0,22.46,87.15,3.88,0.31,7.23,5.00,40.08,8.02,0.15,0.23
Charles Clay,7.5,30,13,8,21,16,203,12.7,1,47,1.2,15.6,76.20%,9.7,0,0,0,0,0,0,0,16,12.7,203,1,0,0.00,0.00,0.00,0.00,6.54,4.54,43.92,9.68,0.54,0.00
Maxx Williams,0,25,13,8,14,11,139,12.6,1,21,0.8,10.7,78.60%,9.9,0,0,0,0,0,0,0,11,12.6,139,1,0,0.00,0.00,0.00,0.00,6.54,4.54,43.92,9.68,0.54,0.00
